year,month,temp_c,precip_mm
1998,11,12.9521,34.2434
1998,12,9.9583,37.958
1999,1,11.1989,57.0919
1999,2,11.1815,134.2287
1999,3,12.4624,115.2581
1999,4,13.0881,71.0299
1999,5,16.458,4.863
1999,6,19.967,4.0568
1999,7,23.9115,0.7738
1999,8,24.3411,17.4725
1999,9,23.5614,0.3106
1999,10,18.9406,0.0192
1999,11,14.5927,20.825
1999,12,10.3962,14.2451
2000,1,8.4803,83.6261
2000,2,12.4725,7.6399
2000,3,13.5164,31.6256
2000,4,16.1489,15.9501
2000,5,15.7391,16.3749
2000,6,18.8081,1.981
2000,7,25.0117,0.8074
2000,8,26.7824,0.0793
2000,9,21.9264,24.649
2000,10,20.8149,0.9154
2000,11,13.697,25.4511
2000,12,9.95,35.3548
2001,1,11.7778,75.6608
2001,2,11.2023,224.6044
2001,3,10.5253,68.9968
2001,4,15.0939,12.8032
2001,5,17.8094,2.9259
2001,6,18.0327,1.3007
2001,7,20.809,2.3215
2001,8,22.074,20.1488
2001,9,22.611,0.6304
2001,10,20.4606,0.1534
2001,11,12.9017,7.2984
2001,12,10.7368,21.3534
2002,1,11.3586,71.6346
2002,2,11.2311,158.1199
2002,3,10.4925,159.6197
2002,4,13.145,42.8456
2002,5,15.578,8.2838
2002,6,17.7028,4.4075
2002,7,24.1083,0.814
2002,8,25.8788,0.0006
2002,9,21.7,0.3239
2002,10,18.208,0.2349
2002,11,13.4463,44.255
2002,12,10.6927,75.7714
2003,1,10.2661,112.6657
